/////////////////////////////////////////////////////////////
// Created by: Synopsys DC Ultra(TM) in wire load mode
// Version   : M-2016.12-SP2
// Date      : Tue Nov 26 20:35:01 2024
/////////////////////////////////////////////////////////////


module sampletest_SIGFIG21_RADIX10_VERTS3_AXIS3_COLORS3_PIPE_DEPTH2 ( 
    .tri_R16S({\tri_R16S[2][2][20] , \tri_R16S[2][2][19] , 
        \tri_R10S[1][1][12] , \tri_R10S[1][1][11] , \tri_R10S[1][1][10] , 
        \tri_R10S[1][1][9] , \tri_R10S[1][1][8] , \tri_R10S[1][1][7] , 
        \tri_R10S[1][1][6] , \tri_R10S[1][1][5] , \tri_R10S[1][1][4] , 
        \tri_R10S[1][1][3] , \tri_R10S[1][1][2] , \tri_R10S[1][1][1] , 
        \tri_R10S[1][1][0] , \tri_R10S[1][0][20] , \tri_R10S[1][0][19] , 
        \tri_R10S[1][0][18] , \tri_R10S[1][0][17] , \tri_R10S[1][0][16] , 
        \tri_R10S[1][0][15] , \tri_R10S[1][0][14] , \tri_R10S[1][0][13] , 
        \tri_R10S[1][0][12] , \tri_R10S[1][0][11] , \tri_R10S[1][0][10] , 
        \tri_R10S[1][0][9] , \tri_R10S[1][0][8] , \tri_R10S[1][0][7] , 
        \tri_R10S[1][0][6] , \tri_R10S[1][0][5] , \tri_R10S[1][0][4] , 
        \tri_R10S[1][0][3] , \tri_R10S[1][0][2] , \tri_R10S[1][0][1] , 
        \tri_R10S[1][0][0] , \tri_R10S[0][2][20] , \tri_R10S[0][2][19] , 
        \tri_R10S[0][2][18] , \tri_R10S[0][2][17] , \tri_R10S[0][2][16] , 
        \tri_R10S[0][2][15] , \tri_R10S[0][2][14] , \tri_R10S[0][2][13] , 
        \tri_R10S[0][2][12] , \tri_R10S[0][2][11] , \tri_R10S[0][2][10] , 
        \tri_R10S[0][2][9] , \tri_R10S[0][2][8] , \tri_R10S[0][2][7] , 
        \tri_R10S[0][2][6] , \tri_R10S[0][2][5] , \tri_R10S[0][2][4] , 
        \tri_R10S[0][2][3] , \tri_R10S[0][2][2] , \tri_R10S[0][2][1] , 
        \tri_R10S[0][2][0] , \tri_R10S[0][1][20] , \tri_R10S[0][1][19] , 
        \tri_R10S[0][1][18] , \tri_R10S[0][1][17] , \tri_R10S[0][1][16] , 
        \tri_R10S[0][1][15] , \tri_R10S[0][1][14] , \tri_R10S[0][1][13] , 
        \tri_R10S[0][1][12] , \tri_R10S[0][1][11] , \tri_R10S[0][1][10] , 
        \tri_R10S[0][1][9] , \tri_R10S[0][1][8] , \tri_R10S[0][1][7] , 
        \tri_R10S[0][1][6] , \tri_R10S[0][1][5] , \tri_R10S[0][1][4] , 
        \tri_R10S[0][1][3] , \tri_R10S[0][1][2] , \tri_R10S[0][1][1] , 
        \tri_R10S[0][1][0] , \tri_R10S[0][0][20] , \tri_R10S[0][0][19] , 
        \tri_R10S[0][0][18] , \tri_R10S[0][0][17] , \tri_R10S[0][0][16] , 
        \tri_R10S[0][0][15] , \tri_R10S[0][0][14] , \tri_R10S[0][0][13] , 
        \tri_R10S[0][0][12] , \tri_R10S[0][0][11] , \tri_R10S[0][0][10] , 
        \tri_R10S[0][0][9] , \tri_R10S[0][0][8] , \tri_R10S[0][0][7] , 
        \tri_R10S[0][0][6] , \tri_R10S[0][0][5] , \tri_R10S[0][0][4] , 
        \tri_R10S[0][0][3] , \tri_R10S[0][0][2] , \tri_R10S[0][0][1] , 
        \tri_R10S[0][0][0] }), .color_R10U({\color_R10U[2][20] , 
        \color_R10U[2][19] , \color_R10U[2][18] , \color_R10U[2][17] , 
        \color_R10U[2][16] , \color_R10U[2][15] , \color_R10U[2][14] , 
        \color_R10U[2][13] , \color_R10U[2][12] , \color_R10U[2][11] , 
        \color_R10U[2][10] , \color_R10U[2][9] , \color_R10U[2][8] , 
        \color_R10U[2][7] , \color_R10U[2][6] , \color_R10U[2][5] , 
        \color_R10U[2][4] , \color_R10U[2][3] , \color_R10U[2][2] , 
        \color_R10U[2][1] , \color_R10U[2][0] , \color_R10U[1][20] , 
        \color_R10U[1][19] , \color_R10U[1][18] , \color_R10U[1][17] , 
        \color_R10U[1][16] , \color_R10U[1][15] , \color_R10U[1][14] , 
        \color_R10U[1][13] , \color_R10U[1][12] , \color_R10U[1][11] , 
        \color_R10U[1][10] , \color_R10U[1][9] , \color_R10U[1][8] , 
        \color_R10U[1][7] , \color_R10U[1][6] , \color_R10U[1][5] , 
        \color_R10U[1][4] , \color_R10U[1][3] , \color_R10U[1][2] , 
        \color_R10U[1][1] , \color_R10U[1][0] , \color_R10U[0][20] , 
        \color_R10U[0][19] , \color_R10U[0][18] , \color_R10U[0][17] , 
        \color_R10U[0][16] , \color_R10U[0][15] , \color_R10U[0][14] , 
        \color_R10U[0][13] , \color_R10U[0][12] , \color_R10U[0][11] , 
        \color_R10U[0][10] , \color_R10U[0][9] , \color_R10U[0][8] , 
        \color_R10U[0][7] , \color_R10U[0][6] , \color_R10U[0][5] , 
        \color_R10U[0][4] , \color_R10U[0][3] , \color_R10U[0][2] , 
        \color_R10U[0][1] , \color_R10U[0][0] }), validTri_R10H, 
    .screen_RnnnnS({\screen_RnnnnS[1][20] , \screen_RnnnnS[1][19] , 
        \screen_RnnnnS[1][18] , \screen_RnnnnS[1][17] , \screen_RnnnnS[1][16] , 
        \screen_RnnnnS[1][15] , \screen_RnnnnS[1][14] , \screen_RnnnnS[1][13] , 
        \screen_RnnnnS[1][12] , \screen_RnnnnS[1][11] , \screen_RnnnnS[1][10] , 
        \screen_RnnnnS[1][9] , \screen_RnnnnS[1][8] , \screen_RnnnnS[1][7] , 
        \screen_RnnnnS[1][6] , \screen_RnnnnS[1][5] , \screen_RnnnnS[1][4] , 
        \screen_RnnnnS[1][3] , \screen_RnnnnS[1][2] , \screen_RnnnnS[1][1] , 
        \screen_RnnnnS[1][0] , \screen_RnnnnS[0][20] , \screen_RnnnnS[0][19] , 
        \screen_RnnnnS[0][18] , \screen_RnnnnS[0][17] , \screen_RnnnnS[0][16] , 
        \screen_RnnnnS[0][15] , \screen_RnnnnS[0][14] , \screen_RnnnnS[0][13] , 
        \screen_RnnnnS[0][12] , \screen_RnnnnS[0][11] , \screen_RnnnnS[0][10] , 
        \screen_RnnnnS[0][9] , \screen_RnnnnS[0][8] , \screen_RnnnnS[0][7] , 
        \screen_RnnnnS[0][6] , \screen_RnnnnS[0][5] , \screen_RnnnnS[0][4] , 
        \screen_RnnnnS[0][3] , \screen_RnnnnS[0][2] , \screen_RnnnnS[0][1] , 
        \screen_RnnnnS[0][0] }), subSample_RnnnnU, clk, rst, halt_RnnnnL, 
    .hit_R18S({\hit_R18S[2][20] , \hit_R18S[2][19] , \hit_R18S[2][18] , 
        \hit_R18S[2][17] , \hit_R18S[2][16] , \hit_R18S[2][15] , 
        \hit_R18S[2][14] , \hit_R18S[2][13] , \hit_R18S[2][12] , 
        \hit_R18S[2][11] , \hit_R18S[2][10] , \hit_R18S[2][9] , 
        \hit_R18S[2][8] , \hit_R18S[2][7] , \hit_R18S[2][6] , \hit_R18S[2][5] , 
        \hit_R18S[2][4] , \hit_R18S[2][3] , \hit_R18S[2][2] , \hit_R18S[2][1] , 
        \hit_R18S[2][0] , \hit_R18S[1][20] , \hit_R18S[1][19] , 
        \hit_R18S[1][18] , \hit_R18S[1][17] , \hit_R18S[1][16] , 
        \hit_R18S[1][15] , \hit_R18S[1][14] , \hit_R18S[1][13] , 
        \hit_R18S[1][12] , \hit_R18S[1][11] , \hit_R18S[1][10] , 
        \hit_R18S[1][9] , \hit_R18S[1][8] , \hit_R18S[1][7] , \hit_R18S[1][6] , 
        \hit_R18S[1][5] , \hit_R18S[1][4] , \hit_R18S[1][3] , \hit_R18S[1][2] , 
        \hit_R18S[1][1] , \hit_R18S[1][0] , \hit_R18S[0][20] , 
        \hit_R18S[0][19] , \hit_R18S[0][18] , \hit_R18S[0][17] , 
        \hit_R18S[0][16] , \hit_R18S[0][15] , \hit_R18S[0][14] , 
        \hit_R18S[0][13] , \hit_R18S[0][12] , \hit_R18S[0][11] , 
        \hit_R18S[0][10] , \hit_R18S[0][9] , \hit_R18S[0][8] , 
        \hit_R18S[0][7] , \hit_R18S[0][6] , \hit_R18S[0][5] , \hit_R18S[0][4] , 
        \hit_R18S[0][3] , \hit_R18S[0][2] , \hit_R18S[0][1] , \hit_R18S[0][0] 
        }), .color_R18U({\color_R18U[2][20] , \color_R18U[2][19] , 
        \color_R18U[2][18] , \color_R18U[2][17] , \color_R18U[2][16] , 
        \color_R18U[2][15] , \color_R18U[2][14] , \color_R18U[2][13] , 
        \color_R18U[2][12] , \color_R18U[2][11] , \color_R18U[2][10] , 
        \color_R18U[2][9] , \color_R18U[2][8] , \color_R18U[2][7] , 
        \color_R18U[2][6] , \color_R18U[2][5] , \color_R18U[2][4] , 
        \color_R18U[2][3] , \color_R18U[2][2] , \color_R18U[2][1] , 
        \color_R18U[2][0] , \color_R18U[1][20] , \color_R18U[1][19] , 
        \color_R18U[1][18] , \color_R18U[1][17] , \color_R18U[1][16] , 
        \color_R18U[1][15] , \color_R18U[1][14] , \color_R18U[1][13] , 
        \color_R18U[1][12] , \color_R18U[1][11] , \color_R18U[1][10] , 
        \color_R18U[1][9] , \color_R18U[1][8] , \color_R18U[1][7] , 
        \color_R18U[1][6] , \color_R18U[1][5] , \color_R18U[1][4] , 
        \color_R18U[1][3] , \color_R18U[1][2] , \color_R18U[1][1] , 
        \color_R18U[1][0] , \color_R18U[0][20] , \color_R18U[0][19] , 
        \color_R18U[0][18] , \color_R18U[0][17] , \color_R18U[0][16] , 
        \color_R18U[0][15] , \color_R18U[0][14] , \color_R18U[0][13] , 
        \color_R18U[0][12] , \color_R18U[0][11] , \color_R18U[0][10] , 
        \color_R18U[0][9] , \color_R18U[0][8] , \color_R18U[0][7] , 
        \color_R18U[0][6] , \color_R18U[0][5] , \color_R18U[0][4] , 
        \color_R18U[0][3] , \color_R18U[0][2] , \color_R18U[0][1] , 
        \color_R18U[0][0] }), hit_valid_R18H );
  input [3:0] subSample_RnnnnU;
  input \tri_R10S[2][2][20] , \tri_R10S[2][2][19] , \tri_R10S[2][2][18] ,
         \tri_R10S[2][2][17] , \tri_R10S[2][2][16] , \tri_R10S[2][2][15] ,
         \tri_R10S[2][2][14] , \tri_R10S[2][2][13] , \tri_R10S[2][2][12] ,
         \tri_R10S[2][2][11] , \tri_R10S[2][2][10] , \tri_R10S[2][2][9] ,
         \tri_R10S[2][2][8] , \tri_R10S[2][2][7] , \tri_R10S[2][2][6] ,
         \tri_R10S[2][2][5] , \tri_R10S[2][2][4] , \tri_R10S[2][2][3] ,
         \tri_R10S[2][2][2] , \tri_R10S[2][2][1] , \tri_R10S[2][2][0] ,
         \tri_R10S[2][1][20] , \tri_R10S[2][1][19] , \tri_R10S[2][1][18] ,
         \tri_R10S[2][1][17] , \tri_R10S[2][1][16] , \tri_R10S[2][1][15] ,
         \tri_R10S[2][1][14] , \tri_R10S[2][1][13] , \tri_R10S[2][1][12] ,
         \tri_R10S[2][1][11] , \tri_R10S[2][1][10] , \tri_R10S[2][1][9] ,
         \tri_R10S[2][1][8] , \tri_R10S[2][1][7] , \tri_R10S[2][1][6] ,
         \tri_R10S[2][1][5] , \tri_R10S[2][1][4] , \tri_R10S[2][1][3] ,
         \tri_R10S[2][1][2] , \tri_R10S[2][1][1] , \tri_R10S[2][1][0] ,
         \tri_R10S[2][0][20] , \tri_R10S[2][0][19] , \tri_R10S[2][0][18] ,
         \tri_R10S[2][0][17] , \tri_R10S[2][0][16] , \tri_R10S[2][0][15] ,
         \tri_R10S[2][0][14] , \tri_R10S[2][0][13] , \tri_R10S[2][0][12] ,
         \tri_R10S[2][0][11] , \tri_R10S[2][0][10] , \tri_R10S[2][0][9] ,
         \tri_R10S[2][0][8] , \tri_R10S[2][0][7] , \tri_R10S[2][0][6] ,
         \tri_R10S[2][0][5] , \tri_R10S[2][0][4] , \tri_R10S[2][0][3] ,
         \tri_R10S[2][0][2] , \tri_R10S[2][0][1] , \tri_R10S[2][0][0] ,
         \tri_R10S[1][2][20] , \tri_R10S[1][2][19] , \tri_R10S[1][2][18] ,
         \tri_R10S[1][2][17] , \tri_R10S[1][2][16] , \tri_R10S[1][2][15] ,
         \tri_R10S[1][2][14] , \tri_R10S[1][2][13] , \tri_R10S[1][2][12] ,
         \tri_R10S[1][2][11] , \tri_R10S[1][2][10] , \tri_R10S[1][2][9] ,
         \tri_R10S[1][2][8] , \tri_R10S[1][2][7] , \tri_R10S[1][2][6] ,
         \tri_R10S[1][2][5] , \tri_R10S[1][2][4] , \tri_R10S[1][2][3] ,
         \tri_R10S[1][2][2] , \tri_R10S[1][2][1] , \tri_R10S[1][2][0] ,
         \tri_R10S[1][1][20] , \tri_R10S[1][1][19] , \tri_R10S[1][1][18] ,
         \tri_R10S[1][1][17] , \tri_R10S[1][1][16] , \tri_R10S[1][1][15] ,
         \tri_R10S[1][1][14] , \tri_R10S[1][1][13] , \tri_R10S[1][1][12] ,
         \tri_R10S[1][1][11] , \tri_R10S[1][1][10] , \tri_R10S[1][1][9] ,
         \tri_R10S[1][1][8] , \tri_R10S[1][1][7] , \tri_R10S[1][1][6] ,
         \tri_R10S[1][1][5] , \tri_R10S[1][1][4] , \tri_R10S[1][1][3] ,
         \tri_R10S[1][1][2] , \tri_R10S[1][1][1] , \tri_R10S[1][1][0] ,
         \tri_R10S[1][0][20] , \tri_R10S[1][0][19] , \tri_R10S[1][0][18] ,
         \tri_R10S[1][0][17] , \tri_R10S[1][0][16] , \tri_R10S[1][0][15] ,
         \tri_R10S[1][0][14] , \tri_R10S[1][0][13] , \tri_R10S[1][0][12] ,
         \tri_R10S[1][0][11] , \tri_R10S[1][0][10] , \tri_R10S[1][0][9] ,
         \tri_R10S[1][0][8] , \tri_R10S[1][0][7] , \tri_R10S[1][0][6] ,
         \tri_R10S[1][0][5] , \tri_R10S[1][0][4] , \tri_R10S[1][0][3] ,
         \tri_R10S[1][0][2] , \tri_R10S[1][0][1] , \tri_R10S[1][0][0] ,
         \tri_R10S[0][2][20] , \tri_R10S[0][2][19] , \tri_R10S[0][2][18] ,
         \tri_R10S[0][2][17] , \tri_R10S[0][2][16] , \tri_R10S[0][2][15] ,
         \tri_R10S[0][2][14] , \tri_R10S[0][2][13] , \tri_R10S[0][2][12] ,
         \tri_R10S[0][2][11] , \tri_R10S[0][2][10] , \tri_R10S[0][2][9] ,
         \tri_R10S[0][2][8] , \tri_R10S[0][2][7] , \tri_R10S[0][2][6] ,
         \tri_R10S[0][2][5] , \tri_R10S[0][2][4] , \tri_R10S[0][2][3] ,
         \tri_R10S[0][2][2] , \tri_R10S[0][2][1] , \tri_R10S[0][2][0] ,
         \tri_R10S[0][1][20] , \tri_R10S[0][1][19] , \tri_R10S[0][1][18] ,
         \tri_R10S[0][1][17] , \tri_R10S[0][1][16] , \tri_R10S[0][1][15] ,
         \tri_R10S[0][1][14] , \tri_R10S[0][1][13] , \tri_R10S[0][1][12] ,
         \tri_R10S[0][1][11] , \tri_R10S[0][1][10] , \tri_R10S[0][1][9] ,
         \tri_R10S[0][1][8] , \tri_R10S[0][1][7] , \tri_R10S[0][1][6] ,
         \tri_R10S[0][1][5] , \tri_R10S[0][1][4] , \tri_R10S[0][1][3] ,
         \tri_R10S[0][1][2] , \tri_R10S[0][1][1] , \tri_R10S[0][1][0] ,
         \tri_R10S[0][0][20] , \tri_R10S[0][0][19] , \tri_R10S[0][0][18] ,
         \tri_R10S[0][0][17] , \tri_R10S[0][0][16] , \tri_R10S[0][0][15] ,
         \tri_R10S[0][0][14] , \tri_R10S[0][0][13] , \tri_R10S[0][0][12] ,
         \tri_R10S[0][0][11] , \tri_R10S[0][0][10] , \tri_R10S[0][0][9] ,
         \tri_R10S[0][0][8] , \tri_R10S[0][0][7] , \tri_R10S[0][0][6] ,
         \tri_R10S[0][0][5] , \tri_R10S[0][0][4] , \tri_R10S[0][0][3] ,
         \tri_R10S[0][0][2] , \tri_R10S[0][0][1] , \tri_R10S[0][0][0] ,
         \color_R10U[2][20] , \color_R10U[2][19] , \color_R10U[2][18] ,
         \color_R10U[2][17] , \color_R10U[2][16] , \color_R10U[2][15] ,
         \color_R10U[2][14] , \color_R10U[2][13] , \color_R10U[2][12] ,
         \color_R10U[2][11] , \color_R10U[2][10] , \color_R10U[2][9] ,
         \color_R10U[2][8] , \color_R10U[2][7] , \color_R10U[2][6] ,
         \color_R10U[2][5] , \color_R10U[2][4] , \color_R10U[2][3] ,
         \color_R10U[2][2] , \color_R10U[2][1] , \color_R10U[2][0] ,
         \color_R10U[1][20] , \color_R10U[1][19] , \color_R10U[1][18] ,
         \color_R10U[1][17] , \color_R10U[1][16] , \color_R10U[1][15] ,
         \color_R10U[1][14] , \color_R10U[1][13] , \color_R10U[1][12] ,
         \color_R10U[1][11] , \color_R10U[1][10] , \color_R10U[1][9] ,
         \color_R10U[1][8] , \color_R10U[1][7] , \color_R10U[1][6] ,
         \color_R10U[1][5] , \color_R10U[1][4] , \color_R10U[1][3] ,
         \color_R10U[1][2] , \color_R10U[1][1] , \color_R10U[1][0] ,
         \color_R10U[0][20] , \color_R10U[0][19] , \color_R10U[0][18] ,
         \color_R10U[0][17] , \color_R10U[0][16] , \color_R10U[0][15] ,
         \color_R10U[0][14] , \color_R10U[0][13] , \color_R10U[0][12] ,
         \color_R10U[0][11] , \color_R10U[0][10] , \color_R10U[0][9] ,
         \color_R10U[0][8] , \color_R10U[0][7] , \color_R10U[0][6] ,
         \color_R10U[0][5] , \color_R10U[0][4] , \color_R10U[0][3] ,
         \color_R10U[0][2] , \color_R10U[0][1] , \color_R10U[0][0] ,
         validTri_R10H, \screen_RnnnnS[1][20] , \screen_RnnnnS[1][19] ,
         \screen_RnnnnS[1][18] , \screen_RnnnnS[1][17] ,
         \screen_RnnnnS[1][16] , \screen_RnnnnS[1][15] ,
         \screen_RnnnnS[1][14] , \screen_RnnnnS[1][13] ,
         \screen_RnnnnS[1][12] , \screen_RnnnnS[1][11] ,
         \screen_RnnnnS[1][10] , \screen_RnnnnS[1][9] , \screen_RnnnnS[1][8] ,
         \screen_RnnnnS[1][7] , \screen_RnnnnS[1][6] , \screen_RnnnnS[1][5] ,
         \screen_RnnnnS[1][4] , \screen_RnnnnS[1][3] , \screen_RnnnnS[1][2] ,
         \screen_RnnnnS[1][1] , \screen_RnnnnS[1][0] , \screen_RnnnnS[0][20] ,
         \screen_RnnnnS[0][19] , \screen_RnnnnS[0][18] ,
         \screen_RnnnnS[0][17] , \screen_RnnnnS[0][16] ,
         \screen_RnnnnS[0][15] , \screen_RnnnnS[0][14] ,
         \screen_RnnnnS[0][13] , \screen_RnnnnS[0][12] ,
         \screen_RnnnnS[0][11] , \screen_RnnnnS[0][10] , \screen_RnnnnS[0][9] ,
         \screen_RnnnnS[0][8] , \screen_RnnnnS[0][7] , \screen_RnnnnS[0][6] ,
         \screen_RnnnnS[0][5] , \screen_RnnnnS[0][4] , \screen_RnnnnS[0][3] ,
         \screen_RnnnnS[0][2] , \screen_RnnnnS[0][1] , \screen_RnnnnS[0][0] ,
         clk, rst;
  output halt_RnnnnL, \hit_R18S[2][20] , \hit_R18S[2][19] , \hit_R18S[2][18] ,
         \hit_R18S[2][17] , \hit_R18S[2][16] , \hit_R18S[2][15] ,
         \hit_R18S[2][14] , \hit_R18S[2][13] , \hit_R18S[2][12] ,
         \hit_R18S[2][11] , \hit_R18S[2][10] , \hit_R18S[2][9] ,
         \hit_R18S[2][8] , \hit_R18S[2][7] , \hit_R18S[2][6] ,
         \hit_R18S[2][5] , \hit_R18S[2][4] , \hit_R18S[2][3] ,
         \hit_R18S[2][2] , \hit_R18S[2][1] , \hit_R18S[2][0] ,
         \hit_R18S[1][20] , \hit_R18S[1][19] , \hit_R18S[1][18] ,
         \hit_R18S[1][17] , \hit_R18S[1][16] , \hit_R18S[1][15] ,
         \hit_R18S[1][14] , \hit_R18S[1][13] , \hit_R18S[1][12] ,
         \hit_R18S[1][11] , \hit_R18S[1][10] , \hit_R18S[1][9] ,
         \hit_R18S[1][8] , \hit_R18S[1][7] , \hit_R18S[1][6] ,
         \hit_R18S[1][5] , \hit_R18S[1][4] , \hit_R18S[1][3] ,
         \hit_R18S[1][2] , \hit_R18S[1][1] , \hit_R18S[1][0] ,
         \hit_R18S[0][20] , \hit_R18S[0][19] , \hit_R18S[0][18] ,
         \hit_R18S[0][17] , \hit_R18S[0][16] , \hit_R18S[0][15] ,
         \hit_R18S[0][14] , \hit_R18S[0][13] , \hit_R18S[0][12] ,
         \hit_R18S[0][11] , \hit_R18S[0][10] , \hit_R18S[0][9] ,
         \hit_R18S[0][8] , \hit_R18S[0][7] , \hit_R18S[0][6] ,
         \hit_R18S[0][5] , \hit_R18S[0][4] , \hit_R18S[0][3] ,
         \hit_R18S[0][2] , \hit_R18S[0][1] , \hit_R18S[0][0] ,
         \color_R18U[2][20] , \color_R18U[2][19] , \color_R18U[2][18] ,
         \color_R18U[2][17] , \color_R18U[2][16] , \color_R18U[2][15] ,
         \color_R18U[2][14] , \color_R18U[2][13] , \color_R18U[2][12] ,
         \color_R18U[2][11] , \color_R18U[2][10] , \color_R18U[2][9] ,
         \color_R18U[2][8] , \color_R18U[2][7] , \color_R18U[2][6] ,
         \color_R18U[2][5] , \color_R18U[2][4] , \color_R18U[2][3] ,
         \color_R18U[2][2] , \color_R18U[2][1] , \color_R18U[2][0] ,
         \color_R18U[1][20] , \color_R18U[1][19] , \color_R18U[1][18] ,
         \color_R18U[1][17] , \color_R18U[1][16] , \color_R18U[1][15] ,
         \color_R18U[1][14] , \color_R18U[1][13] , \color_R18U[1][12] ,
         \color_R18U[1][11] , \color_R18U[1][10] , \color_R18U[1][9] ,
         \color_R18U[1][8] , \color_R18U[1][7] , \color_R18U[1][6] ,
         \color_R18U[1][5] , \color_R18U[1][4] , \color_R18U[1][3] ,
         \color_R18U[1][2] , \color_R18U[1][1] , \color_R18U[1][0] ,
         \color_R18U[0][20] , \color_R18U[0][19] , \color_R18U[0][18] ,
         \color_R18U[0][17] , \color_R18U[0][16] , \color_R18U[0][15] ,
         \color_R18U[0][14] , \color_R18U[0][13] , \color_R18U[0][12] ,
         \color_R18U[0][11] , \color_R18U[0][10] , \color_R18U[0][9] ,
         \color_R18U[0][8] , \color_R18U[0][7] , \color_R18U[0][6] ,
         \color_R18U[0][5] , \color_R18U[0][4] , \color_R18U[0][3] ,
         \color_R18U[0][2] , \color_R18U[0][1] , \color_R18U[0][0] ,
         hit_valid_R18H;
  wire   \tri_R13S[2][1][16] , \tri_R13S[2][1][15] , \tri_R13S[2][1][14] ,
         \tri_R13S[2][1][13] , \tri_R13S[2][1][12] , \tri_R13S[2][1][11] ,
         \tri_R13S[2][1][10] , \tri_R13S[2][1][9] , \tri_R13S[2][1][8] ,
         \tri_R13S[2][1][7] , \tri_R13S[2][1][6] , \tri_R13S[2][1][5] ,
         \tri_R13S[2][1][4] , \tri_R13S[2][1][3] , \tri_R13S[2][1][2] ,
         \tri_R13S[2][0][16] , \tri_R13S[2][0][15] , \tri_R13S[2][0][14] ,
         \tri_R13S[2][0][13] , \tri_R13S[2][0][12] , \tri_R13S[2][0][11] ,
         \tri_R13S[2][0][10] , \tri_R13S[2][0][9] , \tri_R13S[2][0][8] ,
         \tri_R13S[2][0][7] , \tri_R13S[2][0][6] , \tri_R13S[2][0][5] ,
         \tri_R13S[2][0][4] , \tri_R13S[2][0][3] , \tri_R13S[2][0][2] ,
         \tri_R13S[1][1][16] , \tri_R13S[1][1][15] , \tri_R13S[1][1][14] ,
         \tri_R13S[1][1][13] , \tri_R13S[1][1][12] , \tri_R13S[1][1][11] ,
         \tri_R13S[1][1][10] , \tri_R13S[1][1][9] , \tri_R13S[1][1][8] ,
         \tri_R13S[1][1][7] , \tri_R13S[1][1][6] , \tri_R13S[1][1][5] ,
         \tri_R13S[1][1][4] , \tri_R13S[1][1][3] , \tri_R13S[1][1][2] ,
         \tri_R13S[1][0][16] , \tri_R13S[1][0][15] , \tri_R13S[1][0][14] ,
         \tri_R13S[1][0][13] , \tri_R13S[1][0][12] , \tri_R13S[1][0][11] ,
         \tri_R13S[1][0][10] , \tri_R13S[1][0][9] , \tri_R13S[1][0][8] ,
         \tri_R13S[1][0][7] , \tri_R13S[1][0][6] , \tri_R13S[1][0][5] ,
         \tri_R13S[1][0][4] , \tri_R13S[1][0][3] , \tri_R13S[1][0][2] ,
         \tri_R13S[0][2][20] , \tri_R13S[0][2][19] , \tri_R13S[0][2][18] ,
         \tri_R13S[0][2][17] , \tri_R13S[0][2][16] , \tri_R13S[0][2][15] ,
         \tri_R13S[0][2][14] , \tri_R13S[0][2][13] , \tri_R13S[0][2][12] ,
         \tri_R13S[0][2][11] , \tri_R13S[0][2][10] , \tri_R13S[0][2][9] ,
         \tri_R13S[0][2][8] , \tri_R13S[0][2][7] , \tri_R13S[0][2][6] ,
         \tri_R13S[0][2][5] , \tri_R13S[0][2][4] , \tri_R13S[0][2][3] ,
         \tri_R13S[0][2][2] , \tri_R13S[0][2][1] , \tri_R13S[0][2][0] ,
         \tri_R13S[0][1][16] , \tri_R13S[0][1][15] , \tri_R13S[0][1][14] ,
         \tri_R13S[0][1][13] , \tri_R13S[0][1][12] , \tri_R13S[0][1][11] ,
         \tri_R13S[0][1][10] , \tri_R13S[0][1][9] , \tri_R13S[0][1][8] ,
         \tri_R13S[0][1][7] , \tri_R13S[0][1][6] , \tri_R13S[0][1][5] ,
         \tri_R13S[0][1][4] , \tri_R13S[0][1][3] , \tri_R13S[0][1][2] ,
         \tri_R13S[0][0][16] , \tri_R13S[0][0][15] , \tri_R13S[0][0][14] ,
         \tri_R13S[0][0][13] , \tri_R13S[0][0][12] , \tri_R13S[0][0][11] ,
         \tri_R13S[0][0][10] , \tri_R13S[0][0][9] , \tri_R13S[0][0][8] ,
         \tri_R13S[0][0][7] , \tri_R13S[0][0][6] , \tri_R13S[0][0][5] ,
         \tri_R13S[0][0][4] , \tri_R13S[0][0][3] , \tri_R13S[0][0][2] ,
         \color_R13U[2][20] , \color_R13U[2][19] , \color_R13U[2][18] ,
         \color_R13U[2][17] , \color_R13U[2][16] , \color_R13U[2][15] ,
         \color_R13U[2][14] , \color_R13U[2][13] , \color_R13U[2][12] ,
         \color_R13U[2][11] , \color_R13U[2][10] , \color_R13U[2][9] ,
         \color_R13U[2][8] , \color_R13U[2][7] , \color_R13U[2][6] ,
         \color_R13U[2][5] , \color_R13U[2][4] , \color_R13U[2][3] ,
         \color_R13U[2][2] , \color_R13U[2][1] , \color_R13U[2][0] ,
         \color_R13U[1][20] , \color_R13U[1][19] , \color_R13U[1][18] ,
         \color_R13U[1][17] , \color_R13U[1][16] , \color_R13U[1][15] ,
         \color_R13U[1][14] , \color_R13U[1][13] , \color_R13U[1][12] ,
         \color_R13U[1][11] , \color_R13U[1][10] , \color_R13U[1][9] ,
         \color_R13U[1][8] , \color_R13U[1][7] , \color_R13U[1][6] ,
         \color_R13U[1][5] , \color_R13U[1][4] , \color_R13U[1][3] ,
         \color_R13U[1][2] , \color_R13U[1][1] , \color_R13U[1][0] ,
         \color_R13U[0][20] , \color_R13U[0][19] , \color_R13U[0][18] ,
         \color_R13U[0][17] , \color_R13U[0][16] , \color_R13U[0][15] ,
         \color_R13U[0][14] , \color_R13U[0][13] , \color_R13U[0][12] ,
         \color_R13U[0][11] , \color_R13U[0][10] , \color_R13U[0][9] ,
         \color_R13U[0][8] , \color_R13U[0][7] , \color_R13U[0][6] ,
         \color_R13U[0][5] , \color_R13U[0][4] , \color_R13U[0][3] ,
         \color_R13U[0][2] , \color_R13U[0][1] , \color_R13U[0][0] ,
